
    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19
    1    2    1    4    5    3    4    1    5    4    3    1    6    3    3    3    2    4    3    1
    2    4    5    4    1    2    2    1    4    1    2    6    1    2    6    5    6    6    2    4
    3    2    5    1    6    4    3    2    4    2    4    6    1    1    3    4    6    4    3    6
    4    6    4    6    3    4    1    2    2    4    5    3    1    6    6    5    6    3    6    5
    5    5    1    2    2    5    1    4    3    6    6    5    5    3    2    4    5    6    2    4
    6    5    3    2    2    2    5    5    6    4    1    3    1    3    2    6    5    6    6    6
    7    2    3    5    5    6    1    4    1    5    1    3    2    6    5    1    5    6    6    3
    8    4    1    1    6    1    2    1    5    6    5    4    5    4    5    2    2    4    2    4
    9    4    5    4    4    4    1    1    5    3    4    2    5    1    2    4    5    1    5    3
   10    5    2    1    6    4    5    4    5    4    5    5    5    1    3    3    2    4    1    2
   11    2    4    4    3    6    4    3    3    6    3    5    1    1    6    1    6    4    3    2
   12    6    5    6    4    3    6    6    3    6    4    4    1    3    5    4    4    4    6    6
   13    5    3    2    3    3    6    1    2    5    2    4    4    1    6    4    5    1    1    2
   14    3    6    3    4    5    4    2    2    1    6    5    4    4    2    3    4    2    2    4
   15    3    4    5    5    2    4    4    3    2    2    1    1    5    1    4    6    5    5    2
   16    4    3    5    1    6    6    6    6    1    1    5    5    4    6    1    2    5    4    3
   17    1    3    5    2    4    1    6    5    4    2    3    3    3    5    1    1    2    4    6
   18    1    5    1    5    1    2    2    1    1    1    3    1    1    5    3    6    6    1    3
   19    2    5    4    2    1    5    4    6    5    5    3    5    3    1    3    5    5    2    1
